filesnames,status,datatype,title,authors,date,licence,identifier,publisher,rightsHolder,rights,collids
6dd08-01.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 1",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-01,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-02.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 3",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-02,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-02bis.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 5",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-02bis,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-03.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 7",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-03,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-04.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 9",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-04,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-05.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 11",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-05,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-06.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 13",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-06,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-07.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 15",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-07,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-08.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 17",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-08,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-09.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 19",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-09,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-10.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 21",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-10,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-11.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 23",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-11,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-12.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 25",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-12,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-13.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 27",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-13,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-13bis1.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 29",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-13bis1,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-14.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 31",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-14,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-15.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 33",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-15,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-16.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 35",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-16,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-17.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 37",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-17,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-18.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 39",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-18,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
